 service_id, service_name, service_category, service_price, service_status
737,Laundry,Housekeeping,700,Available
738,Restaurant,Dining,300,Available
739,Breakfast Buffet,Dining,500,Available
740,Spa,Wellness,2000,Available
741,Swimming Pool,Recreation,1500,Available
742,Gym,Fitness,500,Available
743,Wi-Fi,Internet,2000,Available
744,Parking,Parking,15000,Available
745,Banquet Hall,Event,1000,Available
746,Conference Hall,Business,15000,Available
747,Tour Assistance,Travel,3500,Available
748,Wake-up Call,Guest Service,800,Available
749,Luggage Assistance,Guest Service,500,Available
750,Extra Bed,Room,1500,Available
751,Room Service,Dining,3500,Available
752,Laundry,Housekeeping,1500,Available
753,Restaurant,Dining,300,Available
754,Breakfast Buffet,Dining,3500,Available
755,Spa,Wellness,500,Unavailable
756,Swimming Pool,Recreation,2000,Available
757,Gym,Fitness,1500,Available
758,Wi-Fi,Internet,500,Available
759,Parking,Parking,500,Available
760,Banquet Hall,Event,3500,Available
761,Conference Hall,Business,3500,Available
762,Tour Assistance,Travel,300,Available
763,Wake-up Call,Guest Service,700,Available
764,Luggage Assistance,Guest Service,700,Available
765,Extra Bed,Room,400,Available
766,Room Service,Dining,1500,Available
767,Laundry,Housekeeping,400,Available
768,Restaurant,Dining,1000,Available
769,Breakfast Buffet,Dining,25000,Available
770,Spa,Wellness,700,Available
771,Swimming Pool,Recreation,1500,Available
772,Gym,Fitness,400,Available
773,Wi-Fi,Internet,1500,Available
774,Parking,Parking,1500,Available
775,Banquet Hall,Event,25000,Available
776,Conference Hall,Business,700,Available
777,Tour Assistance,Travel,300,Available
778,Wake-up Call,Guest Service,3500,Available
779,Luggage Assistance,Guest Service,300,Available
780,Extra Bed,Room,300,Available
781,Room Service,Dining,25000,Available
782,Laundry,Housekeeping,300,Available
783,Restaurant,Dining,400,Available
784,Breakfast Buffet,Dining,700,Available
785,Spa,Wellness,1500,Available
786,Swimming Pool,Recreation,1500,Available
787,Gym,Fitness,1200,Available
788,Wi-Fi,Internet,1500,Available
789,Parking,Parking,2000,Available
790,Banquet Hall,Event,300,Available
791,Conference Hall,Business,15000,Available
792,Tour Assistance,Travel,15000,Available
793,Wake-up Call,Guest Service,1200,Available
794,Luggage Assistance,Guest Service,25000,Available
795,Extra Bed,Room,3500,Available
796,Room Service,Dining,300,Available
797,Laundry,Housekeeping,3500,Available
798,Restaurant,Dining,3500,Available
799,Breakfast Buffet,Dining,1200,Available
800,Spa,Wellness,500,Available
801,Swimming Pool,Recreation,300,Available
802,Gym,Fitness,1500,Available
803,Wi-Fi,Internet,25000,Available
804,Parking,Parking,400,Available
805,Banquet Hall,Event,300,Available
806,Conference Hall,Business,700,Available
807,Tour Assistance,Travel,400,Available
808,Wake-up Call,Guest Service,500,Available
809,Luggage Assistance,Guest Service,400,Available
810,Extra Bed,Room,15000,Available
811,Room Service,Dining,1200,Available
812,Laundry,Housekeeping,25000,Available
813,Restaurant,Dining,1500,Available
814,Breakfast Buffet,Dining,700,Available
815,Spa,Wellness,25000,Available
816,Swimming Pool,Recreation,500,Available
817,Gym,Fitness,15000,Available
818,Wi-Fi,Internet,300,Available
819,Parking,Parking,500,Unavailable
820,Banquet Hall,Event,300,Available
821,Conference Hall,Business,25000,Available
822,Tour Assistance,Travel,500,Available
823,Wake-up Call,Guest Service,300,Available
824,Luggage Assistance,Guest Service,400,Available
825,Extra Bed,Room,15000,Available
826,Room Service,Dining,500,Available
827,Laundry,Housekeeping,1500,Available
828,Restaurant,Dining,1000,Unavailable
829,Breakfast Buffet,Dining,1500,Available
830,Spa,Wellness,1200,Available
831,Swimming Pool,Recreation,15000,Available
832,Gym,Fitness,1000,Available
833,Wi-Fi,Internet,1500,Available
834,Parking,Parking,3500,Available
835,Banquet Hall,Event,300,Available
836,Conference Hall,Business,1000,Available
837,Tour Assistance,Travel,700,Available
838,Wake-up Call,Guest Service,1500,Available
839,Luggage Assistance,Guest Service,300,Available
840,Extra Bed,Room,3500,Available
841,Room Service,Dining,1200,Available
842,Laundry,Housekeeping,15000,Available
843,Restaurant,Dining,2000,Available
844,Breakfast Buffet,Dining,800,Available
845,Spa,Wellness,400,Available
846,Swimming Pool,Recreation,700,Available
847,Gym,Fitness,1200,Unavailable
848,Wi-Fi,Internet,1200,Available
849,Parking,Parking,1200,Available
850,Banquet Hall,Event,800,Available
851,Conference Hall,Business,15000,Unavailable
852,Tour Assistance,Travel,2000,Available
853,Wake-up Call,Guest Service,800,Available
854,Luggage Assistance,Guest Service,25000,Available
855,Extra Bed,Room,2000,Available
856,Room Service,Dining,500,Available
857,Laundry,Housekeeping,500,Available
858,Restaurant,Dining,25000,Available
859,Breakfast Buffet,Dining,3500,Available
860,Spa,Wellness,700,Available
861,Swimming Pool,Recreation,1500,Available
862,Gym,Fitness,800,Available
863,Wi-Fi,Internet,1500,Available
864,Parking,Parking,400,Available
865,Banquet Hall,Event,1500,Available
866,Conference Hall,Business,800,Available
867,Tour Assistance,Travel,2000,Available
868,Wake-up Call,Guest Service,500,Available
869,Luggage Assistance,Guest Service,500,Available
870,Extra Bed,Room,1500,Available
871,Room Service,Dining,2000,Available
872,Laundry,Housekeeping,25000,Available
873,Restaurant,Dining,2000,Available
874,Breakfast Buffet,Dining,1500,Available
875,Spa,Wellness,300,Available
876,Swimming Pool,Recreation,1200,Available
877,Gym,Fitness,800,Available
878,Wi-Fi,Internet,300,Available
879,Parking,Parking,1500,Unavailable
880,Banquet Hall,Event,3500,Available
881,Conference Hall,Business,800,Available
882,Tour Assistance,Travel,300,Available
883,Wake-up Call,Guest Service,15000,Available
884,Luggage Assistance,Guest Service,3500,Available
885,Extra Bed,Room,300,Available
886,Room Service,Dining,1500,Available
887,Laundry,Housekeeping,2000,Available
888,Restaurant,Dining,25000,Available
889,Breakfast Buffet,Dining,1500,Unavailable
890,Spa,Wellness,500,Available
891,Swimming Pool,Recreation,2000,Available
892,Gym,Fitness,25000,Available
893,Wi-Fi,Internet,300,Available
894,Parking,Parking,700,Available
895,Banquet Hall,Event,3500,Available
896,Conference Hall,Business,1000,Available
897,Tour Assistance,Travel,300,Available
898,Wake-up Call,Guest Service,300,Available
899,Luggage Assistance,Guest Service,400,Available
900,Extra Bed,Room,700,Available
901,Room Service,Dining,800,Available
902,Laundry,Housekeeping,1000,Unavailable
903,Restaurant,Dining,1000,Available
904,Breakfast Buffet,Dining,800,Available
905,Spa,Wellness,1200,Available
906,Swimming Pool,Recreation,1000,Available
907,Gym,Fitness,700,Available
908,Wi-Fi,Internet,500,Available
909,Parking,Parking,25000,Available
910,Banquet Hall,Event,300,Available
911,Conference Hall,Business,2000,Available
912,Tour Assistance,Travel,25000,Available
913,Wake-up Call,Guest Service,800,Available
914,Luggage Assistance,Guest Service,400,Available
915,Extra Bed,Room,1000,Available
916,Room Service,Dining,700,Available
917,Laundry,Housekeeping,400,Available
918,Restaurant,Dining,500,Available
919,Breakfast Buffet,Dining,1200,Available
920,Spa,Wellness,2000,Available
921,Swimming Pool,Recreation,2000,Available
922,Gym,Fitness,15000,Available
923,Wi-Fi,Internet,300,Available
924,Parking,Parking,500,Available
925,Banquet Hall,Event,500,Available
926,Conference Hall,Business,1500,Available
927,Tour Assistance,Travel,300,Unavailable
928,Wake-up Call,Guest Service,25000,Available
929,Luggage Assistance,Guest Service,800,Available
930,Extra Bed,Room,15000,Available
931,Room Service,Dining,1500,Available
932,Laundry,Housekeeping,500,Available
933,Restaurant,Dining,500,Available
934,Breakfast Buffet,Dining,15000,Available
935,Spa,Wellness,2000,Unavailable
936,Swimming Pool,Recreation,400,Available
937,Gym,Fitness,300,Available
938,Wi-Fi,Internet,800,Available
939,Parking,Parking,300,Available
940,Banquet Hall,Event,2000,Available
941,Conference Hall,Business,500,Available
942,Tour Assistance,Travel,500,Available
943,Wake-up Call,Guest Service,500,Available
944,Luggage Assistance,Guest Service,300,Available
945,Extra Bed,Room,1500,Available
946,Room Service,Dining,500,Available
947,Laundry,Housekeeping,1200,Available
948,Restaurant,Dining,1200,Available
949,Breakfast Buffet,Dining,3500,Available
950,Spa,Wellness,300,Available
951,Swimming Pool,Recreation,1200,Available
952,Gym,Fitness,1500,Available
953,Wi-Fi,Internet,2000,Unavailable
954,Parking,Parking,400,Available
955,Banquet Hall,Event,15000,Available
956,Conference Hall,Business,15000,Available
957,Tour Assistance,Travel,500,Available
958,Wake-up Call,Guest Service,3500,Available
959,Luggage Assistance,Guest Service,800,Available
960,Extra Bed,Room,500,Available
961,Room Service,Dining,500,Available
962,Laundry,Housekeeping,300,Unavailable
963,Restaurant,Dining,15000,Available
964,Breakfast Buffet,Dining,25000,Available
965,Spa,Wellness,2000,Available
966,Swimming Pool,Recreation,300,Available
967,Gym,Fitness,15000,Available
968,Wi-Fi,Internet,15000,Available
969,Parking,Parking,400,Available
970,Banquet Hall,Event,800,Available
971,Conference Hall,Business,300,Available
972,Tour Assistance,Travel,500,Unavailable
973,Wake-up Call,Guest Service,1200,Available
974,Luggage Assistance,Guest Service,2000,Unavailable
975,Extra Bed,Room,300,Available
976,Room Service,Dining,2000,Available
977,Laundry,Housekeeping,800,Available
978,Restaurant,Dining,1500,Available
979,Breakfast Buffet,Dining,1000,Available
980,Spa,Wellness,300,Available
981,Swimming Pool,Recreation,400,Available
982,Gym,Fitness,1000,Available
983,Wi-Fi,Internet,2000,Available
984,Parking,Parking,1200,Available
985,Banquet Hall,Event,500,Unavailable
986,Conference Hall,Business,700,Available
987,Tour Assistance,Travel,3500,Available
988,Wake-up Call,Guest Service,800,Available
989,Luggage Assistance,Guest Service,400,Available
990,Extra Bed,Room,2000,Available
991,Room Service,Dining,300,Available
992,Laundry,Housekeeping,1200,Available
993,Restaurant,Dining,1000,Available
994,Breakfast Buffet,Dining,1500,Available
995,Spa,Wellness,300,Available
996,Swimming Pool,Recreation,500,Available
997,Gym,Fitness,700,Available
998,Wi-Fi,Internet,700,Available
999,Parking,Parking,500,Available
1000,Banquet Hall,Event,500,Available
